# t x1 y1 z1 x2 y2 z2 x3 y3 z3 vx1 vy1 vz1 vx2 vy2 vz2 vx3 vy3 vz3 E_kin E_pot E_tot Lx Ly Lz
0.00000 -4.67220e+06 0.00000e+00 0.00000e+00 3.79728e+08 0.00000e+00 0.00000e+00 1.89864e+08 3.28854e+08 0.00000e+00 0.00000e+00 1.24360e+01 0.00000e+00 0.00000e+00 -1.01072e+03 0.00000e+00 -8.75310e+02 5.05361e+02 0.00000e+00 3.79938e+28 -7.61923e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
21600.00000 -4.66446e+06 2.68469e+05 0.00000e+00 3.79099e+08 -2.18195e+07 0.00000e+00 1.70647e+08 3.39209e+08 0.00000e+00 7.16513e-01 1.24154e+01 0.00000e+00 -5.82337e+01 -1.00905e+03 0.00000e+00 -9.03579e+02 4.53133e+02 0.00000e+00 3.79942e+28 -7.61927e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
43200.00000 -4.64127e+06 5.36049e+05 0.00000e+00 3.77213e+08 -4.35667e+07 0.00000e+00 1.50850e+08 3.48418e+08 0.00000e+00 1.43067e+00 1.23537e+01 0.00000e+00 -1.16276e+02 -1.00403e+03 0.00000e+00 -9.28987e+02 3.99310e+02 0.00000e+00 3.79952e+28 -7.61937e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
64800.00000 -4.60269e+06 8.01852e+05 0.00000e+00 3.74078e+08 -6.51696e+07 0.00000e+00 1.30536e+08 3.56448e+08 0.00000e+00 2.14013e+00 1.22510e+01 0.00000e+00 -1.73936e+02 -9.95684e+02 0.00000e+00 -9.51417e+02 3.44014e+02 0.00000e+00 3.79969e+28 -7.61954e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
86400.00000 -4.54886e+06 1.06500e+06 0.00000e+00 3.69704e+08 -8.65565e+07 0.00000e+00 1.09771e+08 3.63270e+08 0.00000e+00 2.84254e+00 1.21077e+01 0.00000e+00 -2.31024e+02 -9.84038e+02 0.00000e+00 -9.70760e+02 2.87381e+02 0.00000e+00 3.79992e+28 -7.61977e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
108000.00000 -4.47996e+06 1.32462e+06 0.00000e+00 3.64104e+08 -1.07657e+08 0.00000e+00 8.86222e+07 3.68855e+08 0.00000e+00 3.53562e+00 1.19243e+01 0.00000e+00 -2.87353e+02 -9.69130e+02 0.00000e+00 -9.86917e+02 2.29560e+02 0.00000e+00 3.80022e+28 -7.62008e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
129600.00000 -4.39621e+06 1.57984e+06 0.00000e+00 3.57297e+08 -1.28400e+08 0.00000e+00 6.71597e+07 3.73179e+08 0.00000e+00 4.21706e+00 1.17013e+01 0.00000e+00 -3.42737e+02 -9.51007e+02 0.00000e+00 -9.99796e+02 1.70711e+02 0.00000e+00 3.80059e+28 -7.62044e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
151200.00000 -4.29788e+06 1.82983e+06 0.00000e+00 3.49305e+08 -1.48717e+08 0.00000e+00 4.54552e+07 3.76223e+08 0.00000e+00 4.88463e+00 1.14395e+01 0.00000e+00 -3.96993e+02 -9.29729e+02 0.00000e+00 -1.00931e+03 1.11002e+02 0.00000e+00 3.80102e+28 -7.62087e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
172800.00000 -4.18531e+06 2.07375e+06 0.00000e+00 3.40156e+08 -1.68542e+08 0.00000e+00 2.35822e+07 3.77970e+08 0.00000e+00 5.53613e+00 1.11397e+01 0.00000e+00 -4.49942e+02 -9.05364e+02 0.00000e+00 -1.01539e+03 5.06135e+01 0.00000e+00 3.80152e+28 -7.62137e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
194400.00000 -4.05885e+06 2.31080e+06 0.00000e+00 3.29879e+08 -1.87807e+08 0.00000e+00 1.61584e+06 3.78406e+08 0.00000e+00 6.16940e+00 1.08029e+01 0.00000e+00 -5.01410e+02 -8.77991e+02 0.00000e+00 -1.01795e+03 -1.02663e+01 0.00000e+00 3.80207e+28 -7.62192e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
216000.00000 -3.91894e+06 2.54018e+06 0.00000e+00 3.18507e+08 -2.06450e+08 0.00000e+00 -2.03676e+07 3.77524e+08 0.00000e+00 6.78234e+00 1.04302e+01 0.00000e+00 -5.51227e+02 -8.47699e+02 0.00000e+00 -1.01696e+03 -7.14403e+01 0.00000e+00 3.80268e+28 -7.62254e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
237600.00000 -3.76602e+06 2.76113e+06 0.00000e+00 3.06079e+08 -2.24408e+08 0.00000e+00 -4.22907e+07 3.75319e+08 0.00000e+00 7.37294e+00 1.00228e+01 0.00000e+00 -5.99227e+02 -8.14587e+02 0.00000e+00 -1.01235e+03 -1.32703e+02 0.00000e+00 3.80335e+28 -7.62321e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
259200.00000 -3.60060e+06 2.97292e+06 0.00000e+00 2.92635e+08 -2.41621e+08 0.00000e+00 -6.40749e+07 3.71792e+08 0.00000e+00 7.93923e+00 9.58196e+00 0.00000e+00 -6.45252e+02 -7.78762e+02 0.00000e+00 -1.00410e+03 -1.93843e+02 0.00000e+00 3.80408e+28 -7.62393e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
280800.00000 -3.42323e+06 3.17484e+06 0.00000e+00 2.78219e+08 -2.58032e+08 0.00000e+00 -8.56414e+07 3.66948e+08 0.00000e+00 8.47933e+00 9.10923e+00 0.00000e+00 -6.89148e+02 -7.40342e+02 0.00000e+00 -9.92188e+02 -2.54639e+02 0.00000e+00 3.80486e+28 -7.62471e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
302400.00000 -3.23450e+06 3.36622e+06 0.00000e+00 2.62880e+08 -2.73586e+08 0.00000e+00 -1.06911e+08 3.60796e+08 0.00000e+00 8.99144e+00 8.60609e+00 0.00000e+00 -7.30769e+02 -6.99450e+02 0.00000e+00 -9.76605e+02 -3.14869e+02 0.00000e+00 3.80569e+28 -7.62554e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
324000.00000 -3.03502e+06 3.54642e+06 0.00000e+00 2.46667e+08 -2.88231e+08 0.00000e+00 -1.27804e+08 3.53351e+08 0.00000e+00 9.47385e+00 8.07419e+00 0.00000e+00 -7.69976e+02 -6.56221e+02 0.00000e+00 -9.57362e+02 -3.74302e+02 0.00000e+00 3.80656e+28 -7.62641e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
345600.00000 -2.82545e+06 3.71483e+06 0.00000e+00 2.29635e+08 -3.01918e+08 0.00000e+00 -1.48243e+08 3.44633e+08 0.00000e+00 9.92494e+00 7.51528e+00 0.00000e+00 -8.06638e+02 -6.10795e+02 0.00000e+00 -9.34483e+02 -4.32705e+02 0.00000e+00 3.80748e+28 -7.62733e+28 -3.81985e+28 0.00000e+00 0.00000e+00 -2.85485e+34
