# t x1 y1 z1 x2 y2 z2 x3 y3 z3 vx1 vy1 vz1 vx2 vy2 vz2 vx3 vy3 vz3 E_kin E_pot E_tot Lx Ly Lz
0.00000 -7.48000e+10 0.00000e+00 0.00000e+00 7.48000e+10 0.00000e+00 0.00000e+00 0.00000e+00 1.49600e+13 0.00000e+00 0.00000e+00 -5.95778e+04 0.00000e+00 0.00000e+00 5.95778e+04 0.00000e+00 -5.97423e+06 0.00000e+00 0.00000e+00 1.42766e+50 -1.41981e+44 1.42766e+50 0.00000e+00 0.00000e+00 7.14996e+56
86400.00000 -7.48358e+10 3.75618e+09 0.00000e+00 7.46309e+10 1.40512e+10 0.00000e+00 -5.16174e+11 1.49600e+13 0.00000e+00 -2.01281e+03 1.46506e+05 0.00000e+00 -5.09906e+03 2.65662e+05 0.00000e+00 -5.97423e+06 -1.02475e-01 0.00000e+00 1.42766e+50 -1.41981e+44 1.42766e+50 0.00000e+00 0.00000e+00 7.14996e+56
172800.00000 -7.53525e+10 2.53092e+10 0.00000e+00 7.37142e+10 4.58993e+10 0.00000e+00 -1.03235e+12 1.49600e+13 0.00000e+00 -1.11332e+04 3.52344e+05 0.00000e+00 -1.73058e+04 4.71500e+05 0.00000e+00 -5.97423e+06 -2.04828e-01 0.00000e+00 1.42766e+50 -1.41981e+44 1.42766e+50 0.00000e+00 0.00000e+00 7.14996e+56
259200.00000 -7.69639e+10 6.46271e+10 0.00000e+00 7.14361e+10 9.55123e+10 0.00000e+00 -1.54852e+12 1.49600e+13 0.00000e+00 -2.73481e+04 5.57691e+05 0.00000e+00 -3.66079e+04 6.76849e+05 0.00000e+00 -5.97423e+06 -3.06938e-01 0.00000e+00 1.42766e+50 -1.41981e+44 1.42766e+50 0.00000e+00 0.00000e+00 7.14996e+56
345600.00000 -8.02820e+10 1.21657e+11 0.00000e+00 6.71845e+10 1.62838e+11 0.00000e+00 -2.06469e+12 1.49600e+13 0.00000e+00 -5.06358e+04 7.62301e+05 0.00000e+00 -6.29848e+04 8.81465e+05 0.00000e+00 -5.97423e+06 -4.08681e-01 0.00000e+00 1.42766e+50 -1.41980e+44 1.42766e+50 0.00000e+00 0.00000e+00 7.14996e+56
432000.00000 -8.59166e+10 1.96325e+11 0.00000e+00 6.03494e+10 2.47801e+11 0.00000e+00 -2.58087e+12 1.49600e+13 0.00000e+00 -8.09655e+04 9.65930e+05 0.00000e+00 -9.64082e+04 1.08511e+06 0.00000e+00 -5.97423e+06 -5.09939e-01 0.00000e+00 1.42766e+50 -1.41980e+44 1.42766e+50 0.00000e+00 0.00000e+00 7.14996e+56
518400.00000 -9.44745e+10 2.88534e+11 0.00000e+00 5.03233e+10 3.50309e+11 0.00000e+00 -3.09704e+12 1.49600e+13 0.00000e+00 -1.18297e+05 1.16833e+06 0.00000e+00 -1.36842e+05 1.28753e+06 0.00000e+00 -5.97423e+06 -6.10589e-01 0.00000e+00 1.42766e+50 -1.41980e+44 1.42766e+50 0.00000e+00 0.00000e+00 7.14996e+56
604800.00000 -1.06559e+11 3.98170e+11 0.00000e+00 3.65024e+10 4.70245e+11 0.00000e+00 -3.61322e+12 1.49600e+13 0.00000e+00 -1.62583e+05 1.36927e+06 0.00000e+00 -1.84242e+05 1.48850e+06 0.00000e+00 -5.97423e+06 -7.10512e-01 0.00000e+00 1.42766e+50 -1.41980e+44 1.42766e+50 0.00000e+00 0.00000e+00 7.14996e+56
691200.00000 -1.22767e+11 5.25094e+11 0.00000e+00 1.82871e+10 6.07473e+11 0.00000e+00 -4.12939e+12 1.49600e+13 0.00000e+00 -2.13764e+05 1.56849e+06 0.00000e+00 -2.38557e+05 1.68777e+06 0.00000e+00 -5.97423e+06 -8.09589e-01 0.00000e+00 1.42766e+50 -1.41980e+44 1.42766e+50 0.00000e+00 0.00000e+00 7.14996e+56
777600.00000 -1.43694e+11 6.69150e+11 0.00000e+00 -4.91768e+09 7.61836e+11 0.00000e+00 -4.64556e+12 1.49600e+13 0.00000e+00 -2.71775e+05 1.76577e+06 0.00000e+00 -2.99728e+05 1.88512e+06 0.00000e+00 -5.97423e+06 -9.07702e-01 0.00000e+00 1.42766e+50 -1.41980e+44 1.42766e+50 0.00000e+00 0.00000e+00 7.14996e+56
