# t x1 y1 z1 x2 y2 z2 x3 y3 z3 vx1 vy1 vz1 vx2 vy2 vz2 vx3 vy3 vz3 E_kin E_pot E_tot Lx Ly Lz
0.00000 0.00000e+00 0.00000e+00 0.00000e+00 1.49600e+11 0.00000e+00 0.00000e+00 1.49984e+11 0.00000e+00 3.84400e+08 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.20000e+04 0.00000e+00 0.00000e+00 2.20000e+04 1.50000e+04 4.56011e+32 -5.36311e+33 -4.90710e+33 -6.20898e+35 -1.65178e+38 1.09632e+40
21600.00000 4.20553e+00 2.45319e-03 1.66829e-04 1.49599e+11 2.59199e+08 2.25557e+03 1.49983e+11 4.75177e+08 7.08212e+08 3.89402e-04 3.40722e-07 1.71411e-08 -1.27951e+02 1.19999e+04 1.88160e-01 -1.38937e+02 2.19973e+04 1.49842e+04 4.56033e+32 -5.36314e+33 -4.90710e+33 -6.20898e+35 -1.65178e+38 1.09632e+40
43200.00000 1.68222e+01 1.96259e-02 8.13676e-04 1.49594e+11 5.18395e+08 7.43848e+03 1.49978e+11 9.50281e+08 1.03177e+09 7.78814e-04 1.36293e-06 4.44462e-08 -2.56005e+02 1.19996e+04 2.81220e-01 -2.69825e+02 2.19939e+04 1.49759e+04 4.56146e+32 -5.36325e+33 -4.90710e+33 -6.20898e+35 -1.65178e+38 1.09632e+40
64800.00000 3.78504e+01 6.62392e-02 2.16008e-03 1.49588e+11 7.77581e+08 1.41081e+04 1.49971e+11 1.42532e+09 1.35519e+09 1.16825e-03 3.06674e-06 8.19152e-08 -3.84092e+02 1.19991e+04 3.31749e-01 -3.98600e+02 2.19911e+04 1.49708e+04 4.56346e+32 -5.36345e+33 -4.90710e+33 -6.20898e+35 -1.65178e+38 1.09632e+40
86400.00000 6.72907e+01 1.57018e-01 4.42559e-03 1.49578e+11 1.03675e+09 2.16327e+04 1.49961e+11 1.90030e+09 1.67852e+09 1.55771e-03 5.45236e-06 1.29548e-07 -5.12198e+02 1.19983e+04 3.62700e-01 -5.26668e+02 2.19884e+04 1.49670e+04 4.56630e+32 -5.36373e+33 -4.90710e+33 -6.20898e+35 -1.65178e+38 1.09632e+40
108000.00000 1.05144e+02 3.06692e-01 7.82975e-03 1.49565e+11 1.29591e+09 2.97044e+04 1.49948e+11 2.37522e+09 2.00177e+09 1.94722e-03 8.52006e-06 1.87346e-07 -6.40322e+02 1.19973e+04 3.83409e-01 -6.54440e+02 2.19857e+04 1.49637e+04 4.56998e+32 -5.36410e+33 -4.90710e+33 -6.20898e+35 -1.65178e+38 1.09632e+40
129600.00000 1.51411e+02 5.29998e-01 1.25921e-02 1.49550e+11 1.55504e+09 3.81538e+04 1.49933e+11 2.85008e+09 2.32496e+09 2.33678e-03 1.22702e-05 2.55308e-07 -7.68465e+02 1.19961e+04 3.98172e-01 -7.82067e+02 2.19828e+04 1.49607e+04 4.57449e+32 -5.36455e+33 -4.90710e+33 -6.20898e+35 -1.65178e+38 1.09632e+40
151200.00000 2.06093e+02 8.41682e-01 1.89322e-02 1.49532e+11 1.81414e+09 4.68788e+04 1.49915e+11 3.32487e+09 2.64807e+09 2.72641e-03 1.67033e-05 3.33436e-07 -8.96631e+02 1.19947e+04 4.09198e-01 -9.09611e+02 2.19797e+04 1.49577e+04 4.57982e+32 -5.36508e+33 -4.90710e+33 -6.20898e+35 -1.65178e+38 1.09632e+40
172800.00000 2.69193e+02 1.25650e+00 2.70697e-02 1.49511e+11 2.07321e+09 5.58133e+04 1.49894e+11 3.79960e+09 2.97113e+09 3.11611e-03 2.18198e-05 4.21729e-07 -1.02482e+03 1.19930e+04 4.17729e-01 -1.03710e+03 2.19763e+04 1.49546e+04 4.58599e+32 -5.36570e+33 -4.90710e+33 -6.20898e+35 -1.65178e+38 1.09632e+40
194400.00000 3.40710e+02 1.78922e+00 3.72242e-02 1.49488e+11 2.33224e+09 6.49122e+04 1.49870e+11 4.27424e+09 3.29411e+09 3.50590e-03 2.76203e-05 5.20190e-07 -1.15304e+03 1.19911e+04 4.24515e-01 -1.16456e+03 2.19725e+04 1.49514e+04 4.59299e+32 -5.36640e+33 -4.90710e+33 -6.20898e+35 -1.65178e+38 1.09632e+40
