# t x1 y1 z1 x2 y2 z2 x3 y3 z3 vx1 vy1 vz1 vx2 vy2 vz2 vx3 vy3 vz3 E_kin E_pot E_tot Lx Ly Lz
0.00000 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 0.00000e+00 -1.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 -1.80680e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.00100 3.33604e-17 3.33826e-17 0.00000e+00 1.00000e+00 1.00000e-03 0.00000e+00 -1.00000e-03 1.00000e+00 0.00000e+00 6.67096e-14 6.67763e-14 0.00000e+00 -9.03520e-14 1.00000e+00 0.00000e+00 -1.00000e+00 -9.03284e-14 0.00000e+00 1.00000e+00 -1.80680e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.00200 1.33397e-16 1.33575e-16 0.00000e+00 1.00000e+00 2.00000e-03 0.00000e+00 -2.00000e-03 1.00000e+00 0.00000e+00 1.33352e-13 1.33619e-13 0.00000e+00 -1.80727e-13 1.00000e+00 0.00000e+00 -1.00000e+00 -1.80633e-13 0.00000e+00 1.00000e+00 -1.80680e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.00300 3.00042e-16 3.00643e-16 0.00000e+00 1.00000e+00 3.00000e-03 0.00000e+00 -3.00000e-03 1.00000e+00 0.00000e+00 1.99928e-13 2.00528e-13 0.00000e+00 -2.71126e-13 1.00000e+00 0.00000e+00 -1.00000e+00 -2.70913e-13 0.00000e+00 1.00000e+00 -1.80680e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.00400 5.33230e-16 5.34654e-16 0.00000e+00 1.00000e+00 4.00000e-03 0.00000e+00 -4.00000e-03 1.00000e+00 0.00000e+00 2.66436e-13 2.67504e-13 0.00000e+00 -3.61547e-13 1.00000e+00 0.00000e+00 -1.00000e+00 -3.61169e-13 0.00000e+00 1.00000e+00 -1.80679e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.00500 8.32892e-16 8.35673e-16 0.00000e+00 1.00000e+00 5.00000e-03 0.00000e+00 -5.00000e-03 1.00000e+00 0.00000e+00 3.32877e-13 3.34545e-13 0.00000e+00 -4.51990e-13 1.00000e+00 0.00000e+00 -1.00000e+00 -4.51400e-13 0.00000e+00 1.00000e+00 -1.80678e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.00600 1.19896e-15 1.20377e-15 0.00000e+00 1.00000e+00 6.00000e-03 0.00000e+00 -6.00000e-03 1.00000e+00 0.00000e+00 3.99249e-13 4.01652e-13 0.00000e+00 -5.42456e-13 1.00000e+00 0.00000e+00 -1.00000e+00 -5.41607e-13 0.00000e+00 1.00000e+00 -1.80677e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.00700 1.63137e-15 1.63900e-15 0.00000e+00 1.00000e+00 7.00000e-03 0.00000e+00 -7.00000e-03 1.00000e+00 0.00000e+00 4.65554e-13 4.68825e-13 0.00000e+00 -6.32944e-13 1.00000e+00 0.00000e+00 -1.00000e+00 -6.31788e-13 0.00000e+00 1.00000e+00 -1.80676e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.00800 2.13005e-15 2.14144e-15 0.00000e+00 1.00000e+00 8.00000e-03 0.00000e+00 -8.00000e-03 1.00000e+00 0.00000e+00 5.31791e-13 5.36063e-13 0.00000e+00 -7.23454e-13 1.00000e+00 0.00000e+00 -1.00000e+00 -7.21944e-13 0.00000e+00 1.00000e+00 -1.80675e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.00900 2.69493e-15 2.71115e-15 0.00000e+00 1.00000e+00 9.00000e-03 0.00000e+00 -9.00000e-03 1.00000e+00 0.00000e+00 5.97960e-13 6.03366e-13 0.00000e+00 -8.13985e-13 1.00000e+00 0.00000e+00 -1.00000e+00 -8.12073e-13 0.00000e+00 1.00000e+00 -1.80673e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.01000 3.32594e-15 3.34819e-15 0.00000e+00 1.00000e+00 1.00000e-02 0.00000e+00 -1.00000e-02 1.00000e+00 0.00000e+00 6.64060e-13 6.70734e-13 0.00000e+00 -9.04537e-13 1.00000e+00 0.00000e+00 -1.00000e+00 -9.02177e-13 0.00000e+00 1.00000e+00 -1.80671e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.01100 4.02302e-15 4.05263e-15 0.00000e+00 1.00000e+00 1.10000e-02 0.00000e+00 -1.10000e-02 1.00000e+00 0.00000e+00 7.30091e-13 7.38166e-13 0.00000e+00 -9.95110e-13 1.00000e+00 0.00000e+00 -1.00000e+00 -9.92255e-13 0.00000e+00 1.00000e+00 -1.80669e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.01200 4.78610e-15 4.82454e-15 0.00000e+00 1.00000e+00 1.20000e-02 0.00000e+00 -1.20000e-02 1.00000e+00 0.00000e+00 7.96053e-13 8.05663e-13 0.00000e+00 -1.08570e-12 1.00000e+00 0.00000e+00 -1.00000e+00 -1.08231e-12 0.00000e+00 1.00000e+00 -1.80667e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.01300 5.61511e-15 5.66398e-15 0.00000e+00 1.00000e+00 1.30000e-02 0.00000e+00 -1.30000e-02 1.00000e+00 0.00000e+00 8.61947e-13 8.73225e-13 0.00000e+00 -1.17632e-12 1.00000e+00 0.00000e+00 -1.00000e+00 -1.17233e-12 0.00000e+00 1.00000e+00 -1.80665e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.01400 6.50997e-15 6.57101e-15 0.00000e+00 1.00000e+00 1.40000e-02 0.00000e+00 -1.40000e-02 1.00000e+00 0.00000e+00 9.27771e-13 9.40850e-13 0.00000e+00 -1.26695e-12 1.00000e+00 0.00000e+00 -1.00000e+00 -1.26233e-12 0.00000e+00 1.00000e+00 -1.80663e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.01500 7.47063e-15 7.54570e-15 0.00000e+00 1.00000e+00 1.50000e-02 0.00000e+00 -1.50000e-02 1.00000e+00 0.00000e+00 9.93525e-13 1.00854e-12 0.00000e+00 -1.35761e-12 1.00000e+00 0.00000e+00 -1.00000e+00 -1.35230e-12 0.00000e+00 1.00000e+00 -1.80660e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.01600 8.49700e-15 8.58812e-15 0.00000e+00 1.00000e+00 1.60000e-02 0.00000e+00 -1.60000e-02 1.00000e+00 0.00000e+00 1.05921e-12 1.07629e-12 0.00000e+00 -1.44828e-12 1.00000e+00 0.00000e+00 -1.00000e+00 -1.44224e-12 0.00000e+00 1.00000e+00 -1.80657e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
0.01700 9.58902e-15 9.69831e-15 0.00000e+00 1.00000e+00 1.70000e-02 0.00000e+00 -1.70000e-02 1.00000e+00 0.00000e+00 1.12482e-12 1.14411e-12 0.00000e+00 -1.53897e-12 1.00000e+00 0.00000e+00 -1.00000e+00 -1.53215e-12 0.00000e+00 1.00000e+00 -1.80654e-10 1.00000e+00 0.00000e+00 0.00000e+00 2.00000e+00
